1,87,56.5,117,59,1832,1800,1768
2,87,56.5,118,53.5,1694.5,1680,1695.5
3,87,57.9,151,57.2,1748,1730,1712.5
4,87,58,157,4.1,1853,1820,1787
5,87,58.3,184,2,1866.5,1833.5,1800
6,87,54.5,176,54.8,1949,1900,1852
7,87,55.1,193,37,2023,1970,1917
8,89,0,186,29.1,1857,1790,1723.5
9,88,59,197,49.1,1924,1850,1777
10,88,54,191,28,1973.5,1886.5,1800
11,89,9,200,23.4,1944,1850,1756
12,89,11.5,194,32.7,1944,1840,1735
13,89,21.6,201,50.2,1913,1800,1687
14,89,25,197,10,1924,1800,1676
15,89,31.5,198,45.3,1942,1800,1653
16,89,48.9,204,36.1,1873,1700,1526
17,89,37,203,45,1951,180,1649
18,89,35,200,8.3,1952,1800,1635
19,89,48.9,204,36.1,1873,1700,1526
20,89,59,201,20.5,1740,1560,1360
21,89,42,205,12,1968,1785,1590
22,89,42,202,6.5,1949,1758,1551
23,89,44,205,24.5,1991,1780,1566
24,89,42,313,43,1680,1600,1513
25,89,41,312,11,1703,1600,1497
26,89,42,294,5,1696,1600,1504
27,89,51,285,43,1686,1600,1514
28,93,7.5,281,1,501,400,299
29,90,41.1,273,45,1394.5,1300,1205.5
30,90,25,269,38.9,1409.5,1300,1190.5
31,271,36,272,43.4,1806,1900,1996
32,271,12.5,269,38,1689,1800,1910
33,271,17,161,30.9,1691,1800,1908
34,270,1,260,15.6,1178,1300,1424
35,280,2,252,39.4,1179,1300,1423
36,270,7,252,57,1160,1300,1440
37,270,9,246,24.4,1260,1400,1541
38,270,15,246,49.9,1242,1400,1559
39,270,23,241,28,1340,1500,1660
40,270,41,242,17.8,1522,1700,1875
41,270,37,237,19.1,1519,1700,1881
42,270,36.3,238,30.1,1501,1700,1895
43,270,34.8,234,12.5,1496,1700,1901
44,270,34,139,25.9,1429,1450,1471
45,270,29,186,35,1446,1500,1554
46,271,21.5,196,40.6,1756,1850,1944
47,271,19,200,2.9,1867,2000,2031
48,271,15,273,53,1694,1798,1900
49,271,16,255,59,1739,1866,1992
50,271,23.6,243,23.6,1676,1840,2001
